
#42.0016
#Il s'agit de l'ensemble du site industriel de GIAT INDUSTRIES, précédemment exploité sous le nom d'Arsenal de Roanne, qui comporte notamment une ancienne décharge interne de 2 ha située à l'intérieur de l'établissement GIAT INDUSTRIES.
1	Il	il	PRON	O	O	3	expl:subj
2	s'	se	PRON	O	O	3	expl:comp
3	agit	agir	VERB	O	O	3	ROOT
4	de	de	ADP	O	O	6	case
5	l'	le	DET	O	O	6	det
6	ensemble	ensemble	NOUN	O	O	3	obl:arg
7	du	de	ADP	BO	O	8	case
8	site	site	NOUN	IO	O	6	nmod
9	industriel	industriel	ADJ	EO	O	8	amod
10	de	de	ADP	O	O	11	case
11	GIAT	GIAT	PROPN	BO	BI	8	nmod
12	INDUSTRIES	INDUSTRIES	PROPN	EO	EI	11	flat:name
13	,	,	PUNCT	O	O	8	punct
14	précédemment	précédemment	ADV	O	O	15	advmod
15	exploité	exploiter	VERB	O	O	8	acl
16	sous	sous	ADP	O	O	18	case
17	le	le	DET	BO	O	18	det
18	nom	nom	NOUN	IL	O	15	obl:mod
19	d'	de	ADP	IL	O	20	case
20	Arsenal	Arsenal	PROPN	IL	O	18	nmod
21	de	de	ADP	IL	O	22	case
22	Roanne	Roanne	PROPN	EL	O	20	nmod
23	,	,	PUNCT	O	O	6	punct
24	qui	qui	PRON	O	O	25	nsubj
25	comporte	comporte	VERB	O	O	6	acl:relcl
26	notamment	notamment	ADV	O	O	29	advmod
27	une	un	DET	BO	O	29	det
28	ancienne	ancien	ADJ	IO	O	29	amod
29	décharge	décharge	NOUN	EO	O	25	obj
30	interne	interne	ADJ	O	O	29	amod
31	de	de	ADP	O	O	33	case
32	2	2	NUM	O	O	33	nummod
33	ha	ha	NOUN	O	O	29	nmod
34	située	situer	VERB	O	O	29	acl
35	à	à	ADP	BL	O	37	case
36	l'	le	DET	IL	O	37	det
37	intérieur	intérieur	NOUN	IL	O	34	obl:arg
38	de	de	ADP	IL	O	40	case
39	l'	le	DET	IL	O	40	det
40	établissement	établissement	NOUN	O	O	37	nmod
41	GIAT	GIAT	PROPN	BO	BI	40	nmod
42	INDUSTRIES	INDUSTRIES	PROPN	EO	EI	41	nmod
43	.	.	PUNCT	O	O	3	punct


#Cette décharge a fait l'objet d'un réaménagement sommaire et sert actuellement de zone d'essais et de manoeuvres d'engins militaires.
1	Cette	ce	DET	BO	O	2	det
2	décharge	décharge	NOUN	EO	O	4	nsubj
3	a	avoir	AUX	BR	O	4	aux:tense
4	fait	faire	VERB	IR	O	4	ROOT
5	l'	le	DET	IR	O	6	det
6	objet	objet	NOUN	IR	O	4	obj
7	d'	de	ADP	ER	O	9	case
8	un	un	DET	BN	O	9	det
9	réaménagement	réaménagement	NOUN	BN	O	4	obl:arg
10	sommaire	sommaire	ADJ	EN	O	9	amod
11	et	et	CCONJ	O	O	12	cc
12	sert	servir	VERB	BR	O	4	conj
13	actuellement	actuellement	ADV	IR	O	12	advmod
14	de	de	ADP	ER	O	15	case
15	zone	zone	NOUN	BO	O	12	obl:arg
16	d'	de	ADP	IO	O	17	case
17	essais	essai	NOUN	IO	O	15	nmod
18	et	et	CCONJ	IO	O	20	cc
19	de	de	ADP	IO	O	20	case
20	manoeuvres	manoeuvre	NOUN	EO	O	17	conj
21	d'	de	ADP	O	O	22	case
22	engins	engin	NOUN	BO	O	17	nmod
23	militaires	militaire	ADJ	EO	O	22	amod
24	.	.	PUNCT	O	O	4	punct


#Plusieurs parties des terrains, restant sous la responsabilité de GIAT INDUSTRIES ont fait l'objet de déclaration de cessation d'activités (à ce jour -14/12/2007- non complétée).
1	Plusieurs	plusieurs	DET	BO	O	2	det
2	parties	party	NOUN	IO	O	14	nsubj
3	des	de	ADP	IO	O	4	case
4	terrains	terrain	NOUN	EO	O	2	nmod
5	,	,	PUNCT	O	O	2	punct
6	restant	rester	VERB	O	O	2	acl
7	sous	sous	ADP	O	O	9	case
8	la	le	DET	BO	O	9	det
9	responsabilité	responsabilité	NOUN	BO	O	6	obl:arg
10	de	de	ADP	BO	O	11	case
11	GIAT	GIAT	PROPN	BO	BI	9	nmod
12	INDUSTRIES	INDUSTRIES	PROPN	EO	EI	11	flat:name
